Tweet,Target 1,Stance 1,seen?,GT Target
"I, too, am a liberal who is finding it harder and harder to hate Wal-Mart. First they streamlined operations, then they brought big changes to the way they heat and cool their buildings, even bringing in renewables. Then they brought their influence to bear on the farms which sell to them, requiring that they get smarter about their use of fertilizer and water (economical and environmental benefits). Now they're changing the quality of the foods they sell us, with immense implications for the nation's health and health care. All without a government mandate: conservatives should be dancing in the aisles, alongside us liberals, in encouraging such enlightened self-interest.",environment,FAVOR,1,invalid
"I'm a psychiatrist on the faculty of Johns Hopkins University, and although I now specialize in dementia I used to work heavily in addictions and chronic mental illness. Drugs of abuse and addiction tend to move in fads, fashions, and trends, and it is important for public health that doctors' training adjust to these constant changes. At this moment the trend is opioid addiction particularly prescription drugs. The trend is moving a bit back to heroin (because it's cheaper!) but prescription drug addiction is still a huge public health problem. We (doctors) created the problem (inadvertently) and we should help solve it. A brief web-based training is not too much to ask; for many doctors it will be redundant as is much of the ongoing training we are required to participate in; but it is important to spread the word widely in the medical community.",training,FAVOR,1,invalid
"It's encouraging to read about these programs. And it's especially good to hear that along with low-income students, financial aid and other support is being given to first-generation college students. It's impossible to exaggerate the difficulties many students from these backgrounds face.",first-generation college students,FAVOR,1,invalid
"As a feminist, and a mom of a boy and a girl, I want equal opportunity for both of them. I would love to find a college beyond Wabash that's all male. Because: on average boys are doing poorly in school compared with girls. It would be even better if that all-male school encouraged the arts--everything from fine arts to domestic arts, animal husbandry, and gardening, in addition to a rigorous curriculum of reading, writing, arithmetic, and science.",feminist,FAVOR,1,invalid
"We love taking our kids on vacation to foreign countries. TV and internet are just not adequate substitutes for actually being there to experience another people and culture. They learn to put up with the uncertainties and the unexpected (good or bad) that come with being in an unfamiliar environment. They learn to stay calm, to ask for help, to communicate without speaking the local language, to go with the flow and see what happens. It's great if you can afford it. One thing to keep in mind when planning a trip with kids -- Don't be too ambitious. Don't try to cover 4 cities in a week. The adults will remember the sights, but the kids will remember the frenetic packing and unpacking. So, pick a city and make it your base. Explore that city and stay a while. If you have time, make day trips.",children,FAVOR,1,invalid
"A cat living in the wild needs its claws for climbing trees and for self defense. A pet cat kept indoors does not need its claws. If I have to keep a pet cat I would insist on declawing it. Otherwise I would forgo the pleasure of having a cat as a pet, no matter how cuddly.",declarative,FAVOR,1,invalid
Electric cars have been a long time coming. Now that Solar pannels have become more more popular we will see the increase of electric cars productivity. It's really common sense: solar panels will absorb the energy into batteries which will forever provide electricity to run these cars. It's time!!! the sun power is always there even on cloudy days!!! I only wish I could convert my 2003 Nissan into an electric car. Could that be possible? Solar pannels will forever make us independent.,electric cars,FAVOR,1,invalid
"I agree with this only because the fees really are not explained well in the contracts, and are usually just one or two lines somewhere around page 18 of the agreement. These fees can ruin someone who doesn't know that he's over the limit. I have a friend who had to pay several hundred dollars in fees just because he and his wife made a few little purchases over a few days without realizing that they didn't have the money in their account. For someone making $2500 a month, $35 per transaction is a huge expense. I think what would fix the problem, though, is just not allowing banks to report nonpayment of checking account fees to credit bureaus.",accounting fees,FAVOR,1,invalid
"Playing Varsity Lacrosse in college saved me. It was the very best thing I could have done. It kept me focused, gave me a great group of friends, challenged me both physically and mentally, taught me a lot about trust and teamwork and propelled me through school. It was an incredible outlet for my energy and competitive spirt. I still to this day, believe many of my personal and professional strengths were developed by playing sports. The NCAA, without a doubt, needs to change. There is far too much money spent around the NCAA and the culture at top levels can be nasty and unattractive. But that doesn't that mean that Varsity Sports should be cut from colleges and that Varsity athletes should be punished. The NCAA needs reform as a whole-- sports need to be taken off the peddle stool that they currently stand on. But the importance of sports for many shouldn't be forgotten-- it is just as important as the arts and academia. The debate shouldn't be if varsity sports should be cut-- but how to reform the NCAA so that all schools can keep varsity sports without spending so much money.",lacrosse,FAVOR,1,invalid
"This will be awesome, like the Model T Ford- a car that the people who employed making it can also afford to buy! Hopefully Leaf Factories will be franchised into mid-sized cities across the US. If so, Nissan will be in front of Toyota and Honda within 3 years. If they can get the price point below $15k, they'll sell 50 million of them.",honey,FAVOR,1,invalid
"I am strongly inclined to assert that a thoughtfully structured program be made available to all pre-kindergarten children regardless of their family situations. I've noted that children born to upper-middle and high income parents suffer a diminished capacity to learn just as low-income children, owing to disinterested or ineffectual parenting. There will always be exceptions to the norm--the largely self-taught Abraham Lincoln, for instance. For the most part, however, it seems to make more sense to devote preventative measures whenever possible in order to improve the lives of our citizenry, thereby enriching the nation as well.",pre-kinder,FAVOR,1,invalid
"I agree that once an obligation to Society has been made by serving the penalty assessed at trial, the felon should be restored to full citizenship. Having said that I would add a period of time, say five years of good behavior after release from prison, before voting rights are restored. There should be a burden of proof that a felon must endure to prove that he or she can be a good citizen once again before voting rights can be exercised. This can only be done after the felon has been back in free society for some time.","""prisoners obligation""",FAVOR,1,invalid
"EVERYONE uses public education. Do home-schoolers only patronize home-schooled plumbers, or nurses, or telephone repairpersons? Public education makes possible what we all live with in this Res Publica. Private education is a step back to the 17th century. Mexico is a good example of where the no-tax, limited government crowd wants to go. Having lived in Mexico for four years, where public education is severely underfunded and anyone who expects to get ahead is determined to use private education, I can attest to the benefits of a good putlic education system.",public sector,FAVOR,1,invalid
"I agree with the comments that Taiwan is a democracy now, and that the US needs to side with democracy in Asia. China is by all accounts still very undemocratic and is fighting the tail end of a Civil War with the Chinese Nationalists with which Taiwan had very little to do, but Taiwan's future as a free and democratic nation is now being held hostage to that Civil War. The US needs to not only make the required defense articles available to Taiwan (this helps the US economy), but also retain its forward presence so it can come to the defense of Taiwan if push comes to shove. Another thing the US can do is to gr4adually move towards normalization of relations with Taiwan, and bring it into the international community as a full and equal member. In the 1950s and 1960s we made the mistake of isolating China. Now we are making the mistake of letting Taiwan dangle in diplomatic isolation. The people in Taiwan deserve better from us.",democracy,FAVOR,1,invalid
There should be no exeptions from vaccinations with the exception of valid medical exemptions i.e. an individual with a serious allergy to the vaccine for example an egg alergy in the case of the flu vaccine. Asside from that demonstratable allergy no exemptions for either personal belief or religion should be entertained. If I had my way vaccinations would be a part of a single payer national health system providing universal care. The private sector has proved itself to be incompetent to provide modern health care and need to step asside.,universal health care,FAVOR,1,invalid
I live in Florida which makes it very difficult to restore civil rights to felons. The laws have become a new form of Jim Crow to prevent minorities from voting. Your chance of becoming a felon is much greater if you are dark of skin hue. Or a different ethnicity than being a WASP. Time to end this persecution of people We need to reform our justice system.. After release all voting rights should be restored . If a non violent conviction even the right to own fire arms should be restored.,separ,FAVOR,1,invalid
"Lentils, whole beans, millets are great sources of B vitamins, their bioavailability increases if they are soaked overnight. Millets can even be sprouted then pound into a flour, they are gluten free. Some millets contain high amounts of calcium as well. Quinoa is another rich source of nutrition all around. As far as brain food is concerned, dairy and dairy products make up for lack of meat protein. However for stric vegans who exclude fairly products or those with lactose intolerance, meat and meat products is a good option. Being flexible is a great thing, being too strict or restrictive doesn't help anyone. Moderation is key, mix of vegetarianism, non vegetarianism is awesome, if one is willing to be flexible. Life is colorful not black and white so why limit food?",bioavailability,FAVOR,1,invalid
"Battle Hymn of a Feminist Mom: schoolwork doesn't always come first because things are often learned outside the classroom, an A- is a terrific grade, the kids are where they are in Math not 2 years ahead, activities only to win a medal? Pshaw! Failure is a necessary experience. (See Silicon Valley) But.... disrespect women, gays and people from communities of color?...then the warrior hammer comes down.",k-,FAVOR,1,invalid
"My understanding is that college athletic teams were started to teach leadership, discipline and teamwork to students. With the introduction of the athletic scholarship schools went down the slippery slope of bringing in kids who either were not prepared to do collegiate work or had no serious intent of gaining a degree. Instead of being a benefit to the academic student body, athletics became something more geared toward the fan in the stands and the alumni association- students be damned. What Spelman has done is right in so many ways. The new program will benefit all students, will open new friendships among students and will give students valuable training in how to maintain a healthy body for a lifetime. Truth be told, intramural athletics can provide the same benefits to the student body as varsity and can engage many more students at a far lower price. The fitness program is wonderful.",student athletes,FAVOR,1,invalid
"I tend to be a loyal consumer. I do due diligence before beginning a commercial relationship, but then I expect that the companies with whom I do business will treat me with equity and respect. I recently received notification from a bank that I have had accounts in for more than 20 years. I have always had at least one paycheck being direct deposited, I have had 2 or three savings accounts, auto loans, and investment accounts. I have always played by their rules, but the interest paid on savings dwindled to next to nothing (.03%) while charges, fees, and penalties have ballooned. The final straw came a couple of weeks ago when a whole new list of fees came out. Not only are they going to charge for paper statements (I went paperless years ago), but they are going to charge for online access! And they are going to charge $5/month for savings accounts that don't have automatic deposits going to them. Enough is enough! I am switching to a credit union.",customer service,FAVOR,1,invalid
"Having worked at a college library its readily apparent Information Literacy should not be taken for granted and its fairly evident that kids going to into college haven't had enough contact with their school librarians already. There is a strange misapprehension that information is truly just a Google away and students are turning in papers based on Wikipedia entries alone. It will be a very sorry mistake to continue to view librarians as dispensable when they are so desperately needed to navigate the information explosion. As we have more and different types of tsunamis of information, we need more technologically advanced librarians to get us through it. I would also point out that as information is digitized, it falls into the hands of fewer and fewer brokers in a position to control it. The usually forgotten role of the librarian is as a bulwark against that flow of information being in some way hampered or repressed.",information management,FAVOR,1,invalid
"The best part of collet age voters is that they have nothing to steal, but feel that they deserve what the old people have worked to earn. Fortunately, we become more conservative as we get older and have contributed something real to the community, otherwise the our party would have run off the rails long ago.",senior citizens,FAVOR,1,invalid
"Democracy destroys itself because it abuses its right to freedom and equality. Because it teaches its citizens to consider audacity as a right, lawlessness as a freedom, abrasive speech as equality and anarchy as progress. -Isocrates I believe in the first amendment but this man is intentionally trying to cause pain to others by disrespecting their beliefs. People will obviously be upset by this. I am upset by it and I am not a Muslim. So NO your 1st amendment rights are not violated when you are told to shut up because you are going to cause a panicked mob during a fire drill. You DON""T get to claim American rights of protection when you violate the tenets of equality and freedom in your speech.",freedom,FAVOR,1,invalid
"We cannot depend on private industry to instantly know the best way to intervene in a disaster. There are problems that normal businesses simply don't prepare for - being cut off from supplies, having to work with only the employees that are able to show up, keeping track of things with no computers. This is what FEMA is FOR. They plan for this. They rehearse. They have experience with prior situations, and learn from each one what worked and what didn't. Why should communities re-invent the wheel? FEMA knows how to tap the local resources and guide them in how best to help. There HAS to be a centralized command structure so you don't end up with 25 truckloads of drinking water and no food. Do they always get everything right? Of course not. But I'll take my chances with an experienced crew over even the best intentions of someone trying to figure things out as they go.",management,FAVOR,1,invalid
"the fact of the matter is it is our decision as parents to make the decision we feel best suits our children. if one chooses to vaccinate, that is their choice and i respect that they've made the difficult decision to protect their family by vaccinating. my choice however is to not vaccinate our children, as i feel i would be doing more harm to them than good. it's not an easy answer whichever you choose, but i am proud to be born in a country that allows me the freedom to make decisions regarding this. we as parents have researched the options fully, and are aware of both sides risks...and choose the lesser of the 2 evils for us.",choice making,FAVOR,1,invalid
"The first are broad patents on isolated DNA sequences, which cover the gene in something very close to its natural form. "" This is an example of something that shouldn't happen. What the body creates, even if someone extracts it, shouldn't be patentable. The DNA sequence is there for anyone to find with the proper technology. It's like picking fruit off the tree and saying I've ""discovered"" fruit. This is crazy, but then we know that the ROBBER COURT will back business to the hilt. The Supremes are now one big legal joke, and I hope in the future we can manage to pass some legislation to limit SCOTUS judges to 10 years or less. Perhaps the term length of the president that offers them up for sale.",patents,FAVOR,1,invalid
"I currently have no children in the public schools yet I am taxed for them. Should I as a taxpayer get a subsidy because I do not make use of the public schools? No. If as a society we feel that public education is important and you as a parent want to make the choice to either homeschool your children or send them to private school that is your right. However, you do not have the right to take public funds to do that. This is just a backdoor way to say that vochers are ok and to undermine funding for public schools. Public schools have to take everyone and often for special needs children at great cost. Any attempt to divert dollars away from that public good should not even be considered.",public good education,FAVOR,1,invalid
"Anything that can be biologically grown and then consumed in America - should stay in America, while resisting imports on farm products that form core products in the American food market; to protect against disease, preserve FDA standards, and preserve our food market from being export dependent but if the experts are correct that the Government is not properly distributing Farm subsidies - where certain crops, in comparison to the whole American Farming system, are given more money than what is needed to support them - then the Farm Subsidy program needs to be shut down and rebuilt to reflect the actual areas that do need support. As much preserving the American domestic food market, it has to be balanced properly in response to the Federal deficit, in order to properly protect and fund America's farms.",food markets,FAVOR,1,invalid
"Conservatives make me laugh when they struggle to keep their kids from learning evolution. What they're going to end up doing is keeping their children from having careers in science. Since I'm a liberal, that doesn't sound too bad to me. It keeps the competition down. People who don't accept evolution don't belong in science anyways. The more you cut out of your child's curriculum, the bigger the educational and career advantages you're handing to those kids whose parents aren't as nearly controlling and obsessive and ideologically blinkered as you are. So there is a free market solution to this problem. Maybe the Cato Institute should study that angle before they issue their next statement on the topic.",free market,FAVOR,1,invalid
"Some of my best students--bright, knowledgeable, committed--wanted to teach for America. I advised them against it. They did not have experience. Schools deserve the best teachers possible, especially in challenging schools. Being a good and effective teacher requires years of training and then continuing education,, not just in one's subject, but also in pedagogy, didactics, classroom management, organization, etc. Other countries train teachers much better and longer: they have years of specialized course work and then up to two years of assistant teaching. It pays off. Like the structural inequality that finances schools through property taxes, teacher training in the US is vastly uneven and thus perpetuates social inequality and hinders economic progress. We need uniform standards across states, equal funding for all schools, and a better education for educators.",teachers,FAVOR,1,invalid
"The subsidy programs need to be reformed, not eliminated. Tighter income/subsidy caps are needed. Programs that encourage innovation instead of requiring farmers to maintain subsidized acreages and surplus production. If we use black-and-white thinking and eliminate the entire program, the largest corporate farms will benefit. The smaller farms cannot compete against the cost efficiencies that come with scale. The health of our farms is important. Our farmers are stewards of our agricultural soils, arguably our most valuable natural resource. Let's not play politics with our land. Thoughtful reform instead of knee-jerk reactions to a system plagued with problems.",theory,FAVOR,1,invalid
"Income is income and should be taxed as the least harmful of all taxes. Eliminate property tax, but tax all income at the same graduated rates. Currently, there is no benefit in savings with interest rates at .3%. Investors should be encouraged to invest in capital projects or improvements, or donate to philanthropic groups by taxing idle income.",income tax,FAVOR,1,invalid
"As a dual citizen of The United States and Bulgaria,i strongly feel that it is a benifit. I did not want to lose my allegiance to my mother country, however i also wanted to take advantage of all the wonderful oppertunities this country has to offer because they were not available to me back home. Its a privelage that should not be taken advantage of.",united states of Bulgaria,FAVOR,1,invalid
"Age 17, my son had intolerable stomach pain in the middle of the night. He visited web MD, concluded he might have appendicitis, woke me up at 2 AM, and suggested we go to the hospital for possible appendix issue. He is not a complainer, so I took him at his word. Result: appendix removed at 7 AM. I'm a believer.",patient,FAVOR,1,invalid
What's next? Childless families get the tax break? Those whose children go to private schools get a tax break? Do we get the tax break when our children finish schoo? We ALL have a vested interest in a well educated population. We all have an obligation to contribute to the public school system.,education,FAVOR,1,invalid
"There would be very little difference in the price of fruits and vegetables if the farmers paid a reasonable wage. They'd need to do it together to not harm each other in the food market, that's what the unions and cooperatives are for. And we really need to license the labor contractors. So that they lose their licenses if they don't provide adequate water and toilets to workers in the fields. No farmer wants a dead worker featured in their harvest. It brings a farmer's competency into question among the community. Mostly, farmers who pay less than good wages are megafarms and cheaters. They like illegal aliens because they can unload the costs associated with hiring workers onto the neighboring communities. And because these workers are less likely to know and object when they are being exposed to pesticides or abuse.",cooperative work,FAVOR,1,invalid
"Lentils, whole beans, millets are great sources of B vitamins, their bioavailability increases if they are soaked overnight. Millets can even be sprouted then pound into a flour, they are gluten free. Some millets contain high amounts of calcium as well. Quinoa is another rich source of nutrition all around. As far as brain food is concerned, dairy and dairy products make up for lack of meat protein. However for stric vegans who exclude fairly products or those with lactose intolerance, meat and meat products is a good option. Being flexible is a great thing, being too strict or restrictive doesn't help anyone. Moderation is key, mix of vegetarianism, non vegetarianism is awesome, if one is willing to be flexible. Life is colorful not black and white so why limit food?",calcium,FAVOR,1,invalid
"Battle Hymn of a Feminist Mom: schoolwork doesn't always come first because things are often learned outside the classroom, an A- is a terrific grade, the kids are where they are in Math not 2 years ahead, activities only to win a medal? Pshaw! Failure is a necessary experience. (See Silicon Valley) But.... disrespect women, gays and people from communities of color?...then the warrior hammer comes down.",schoolwork,FAVOR,1,invalid
"As a feminist, and a mom of a boy and a girl, I want equal opportunity for both of them. I would love to find a college beyond Wabash that's all male. Because: on average boys are doing poorly in school compared with girls. It would be even better if that all-male school encouraged the arts--everything from fine arts to domestic arts, animal husbandry, and gardening, in addition to a rigorous curriculum of reading, writing, arithmetic, and science.",gender,FAVOR,1,invalid
"Having loved the skill, energy and movement in the pro game since seeing Wilt in an exhibition at the Garden in 1959 (when I was seven), why not first try these easier remedies to make each player more accountable: move the three point line back; stop the carrying while dribbling; get rid of the zone; and start calling giving two shots and the ball for deliberately hard fouls and not just excessively hard fouls; except in the fourth quarter, when all fouls become shooting fouls. The game in the 1960's and 1970's was a better quality game than the junk basketball that now prevails during the regular season. Oh yes: make a winning record on the road during the regular season much more significant.",movement,FAVOR,1,invalid
"I'm on the side of (at least) minimum wage. But I want to raise a different issue. Since when do we owe the bakery clerk a tip? The coffee barista? Every place you go up to a counter, place an order, pick it up yourself, clear your own table--has a tip jar. Should we have tip jars for librarians? Grocery checkers? Shoe sales people? The whole thing is insane. People should work for wages, and employers should pay them. If that means the product costs more, we have a choice about consuming/buying it. PS I had my days as a waitress. So has my daughter. I understand that if you're paid no wages, you depend on tips--and I tip in restaurants. But I don't think it's the right system.",work,FAVOR,1,invalid
"Hollow argument. I am radically opposed to drunk driving, but using drunk driving as an argument against happy hours is not applicable in any city with a good public transit system - e.g Chicago. I've seen fans at sporting events (in Chicago) consume much more beer than most people could consume during happy hour; yet the only restrictions at ballparks, stadiums, and arenas are stopping sales at a point late in the game. So the guzzlers stock up before that point. When I've seen these types, I've always hoped they were taking public transit. Public transit systems and their passengers don't want to deal with drunks either. And the general RESPONSIBLE population should not be penalized by the irresponsible few. The answer is to limit the number of alcoholic beverages per person during happy hour. It would be a good idea at sporting events too, but the team owners and concessionaires would never allow that.",public transit,FAVOR,1,invalid
"I agree with some of the comments about not pushing kids too young to read and write. However, kids benefit from a preschool environment even if it is all play based. New Zealand has a free preschool program, but the kids don't start learning to read until they enter elementary school and NZ has one of the highest literacy rates in the world. It also benefits those who are in the lower middle class and don't qualify for free programs. This is where we really need to start making a push. So that their kids don't end up in the lower class.",k-,FAVOR,1,invalid
"I like this initiative. Wal-Mart is doing a good thing for its customers. Wal-Mart definitely deserves praise for using its power for good for once. Wal-Mart has caused many small businesses to go under and has had serious labor issues over the years. It really owes its customers and employees for their loyalty (even if, in some situations, Wal-Mart is the only game in town) and this healthy food initiative is a wonderful way to start.",healthy food,FAVOR,1,invalid
"I thoroughly agree with Betsy Landers that ""Parents who are monitoring their children's activities via technology are not crossing the line into invasion of privacy; they are cyber-savvy and involved."" As the highly cyber-savvy father of two teenaged daughters who loathe any 'invasion into their privacy', I consider it my responsibility to help them keep themselves safe. I (thankfully) have limited control over what my daughters do when out of my sight. Were that not the case, they might never make enough mistakes to learn from and grow into adults. However, we know from psychology and medicine that human beings do not fully develop their 'executive functions' until well into their late teens or early twenties. As such, they remain vulnerable to predatory influences via cybernetic technology. Granting children untrammeled freedom in the cybernetic world represents, at least in my eyes, abrogating my responsibilities as my daughters' father. Someone's got to be the adult in the parent-child dynamic, and my kids, as wonderful as they are, are not 'it'. Mark Gary Blumenthal, MD, MPH Knoxville, TN",cyber-savvy,FAVOR,1,invalid
"In my first cubicle job, 2 people each shared a telephone that was in a hole between cubicles. A large room constructed of cinder blocks with linoleum square tiles on the floor was a zoo of ringing telephones, loud conversations and a constant stream of people walking to and fro. In my next job, I had my own private office. Hallelujah! There is no reason why workers have to be stuffed in sardine cans divided by partitions that block nothing. A windowless square is far superior to an open floor design.",office design,FAVOR,1,invalid
"Anything that can be biologically grown and then consumed in America - should stay in America, while resisting imports on farm products that form core products in the American food market; to protect against disease, preserve FDA standards, and preserve our food market from being export dependent but if the experts are correct that the Government is not properly distributing Farm subsidies - where certain crops, in comparison to the whole American Farming system, are given more money than what is needed to support them - then the Farm Subsidy program needs to be shut down and rebuilt to reflect the actual areas that do need support. As much preserving the American domestic food market, it has to be balanced properly in response to the Federal deficit, in order to properly protect and fund America's farms.",biologically-inspired approaches,FAVOR,1,invalid
"I'd just like to see the curriculum. Too many times, the syllabus for any given course is behavior focused with no mention of the topic material to be covered. I also have to agree with one of the commentators below. Language Arts and similar classes are not academically challenging for good readers because of the need to accommodate those who struggle. I don't object to helping those who struggle but I would certainly let my child opt out of classes where he/she does not learn anything new. I'd also opt out of the character education training, which too often, requires students to respect everyone's opinion.",curriculum issues,FAVOR,1,invalid
"This is where I really like Israel. B/c they act on intel. with airstrikes, maybe they tell us, but it always hits the news. They've gone into Syria multiple times bombed a moving target and came back home. They ACT. Why us, why now, why not the EU or NATO, or the Arab League??? No, Assad is done. He's vicious and deplorable. Appeal to the UN to give Israel the territory they already control, the Golan Heights. Appeal to the UN and possibly act with others, see above, to formally give the Kurds the State they already have control over; something the Europeans forgot about in the early 20th Century. Aid the Israelis and the Kurds, not Assad.",reliability,FAVOR,1,invalid
"If lawmakers don't (can't) recognize the contributions librarians make to the endless need for researching good answeres to questions that arise in all arenas of life, no wonder our politicians are so lame-brained loser-lunkheads. I want lawmakers to have close ties to competent research librarians. I want lawmakers to research, seriously research, the matters they vote on. Without librarians providing RELIABLE data, a lawmaker is voting based on guess, bias and campaign donations.",libraries,FAVOR,1,invalid
"Yes. Thank you. Except: > And for those who develop a substance dependency, marijuana regulation will generate revenue to support drug treatment for those who need and want it. That's the reactive approach. Resources do need to go to treatment. but also to prior education. The fact that people do not recognize alcohol as a far more dangerous drug than marijuana is more proof than we'd ever need that we are making rules without having even a basic understanding of the science or sociology of addiction.",drug,FAVOR,1,invalid
"Just what we need in this country, more recreation areas for the rich. Let's make sure the fees are raised enough to keep out the riff raff. Then we can put in an airport for the private planes of the rich. Hey, how about a Trump Tower in Yosemite? I'm sure Donald would go for it.",public policy,FAVOR,1,invalid
"I agree that once an obligation to Society has been made by serving the penalty assessed at trial, the felon should be restored to full citizenship. Having said that I would add a period of time, say five years of good behavior after release from prison, before voting rights are restored. There should be a burden of proof that a felon must endure to prove that he or she can be a good citizen once again before voting rights can be exercised. This can only be done after the felon has been back in free society for some time.",citizenship,FAVOR,1,invalid
"The only answer to the overweight epidemic is continued efforts at education until people understand why they are obese and take steps to permanently adopt a healthier lifestyle. When I see obese people I want to ask them why they aren't taking responsibility for their own health and tell them how much their irresponsibility is costing all of us. When I see obese parents with obese children, I want to ask them, ""Don't you love your kids?"" When I see shopping carts full of giant bottles of soda and packaged food, I want to ask them if they need help with their food choices. But I realize that confrontation would be counterproductive. The desire for change has to come from within, and educating by continually sending the message is the only hope. Head Start programs, school lunches, soup kitchens, and many other public arenas are starting to make healthy improvements in some parts of the country. Talk shows, tabloids, news outlets must keep the message coming. And overweight people have got to start eating their vegetables, cutting out processed food, and exercising. It IS a simple concept.",education,FAVOR,1,invalid
"Why wasn't Reed College in Oregon not included in this discussion? As long as I can remember, this elite liberal arts college in Oregon has advertised its non-participation in intercollegiate athletics, offering only intramural sports. Theirs, I believe, is an ideological choice (and one with which I agree). I believe that sports has no place in schools and even less of a place in universities. Make sports part of the community, as is done in places such as Germany.",cooperative work,FAVOR,1,invalid
"Yes, it is important for children to learn how to do their homework by themselves. However, reviewing assignments with them can often help them to see where they made mistakes or help them to clarify matters that they may not fully understand. If a child is able to feel comfortable discussing material with his or her parent, there is an opportunity to reinforce what the child is learning. These interactions can build self-confidence and help to develop critical thinking. Students who are in large classes rarely get the type of individual attention in a class that they may receive from an involved parent at home. Sometimes revisiting the material at home can present a child with the opportunity to understand more about it.",evaluation,FAVOR,1,invalid
"I had an intervention-free hospital birth with my first daughter and a home water birth with my second daughter. Women have been giving birth since the dawn of time. Why would we think that we need to be in a hospital, surrounded by strange germs, impersonal nurses/obs when we could be in our own home trusting the power of our body. It is time women learn to trust in their bodies, stay low risk through diet and exercise, and research research research. We do not have to be afraid of what our bodies were made to do. With the supervision of an experienced midwife, trained in natural birth, home births are safer than hospital births.",natural birth home,FAVOR,1,invalid
"We need objective information about different Universities/Colleges but I think the type of information the Obama Admin wants wont be that useful. Most reputable charities provide information on the percentage of their funds are spent on administration and what percentage is spent on charitable activities. I think the most useful rating system that could be enacted is one that provides information on what percentage of tuition is spent on administrative salaries and non-instructional costs and what is spent on instruction. Instruction would include: libraries, technology in classrooms, faculty salaries, advising etc. Administrative salaries, fancy food courts, fancy health clubs and the endless numbers of Vice Presidents would be excluded from Instructional Costs. I am a faculty member at public university and I have not had a raise in almost 8 years. I can tell you that most of the tuition money is not going to people like me who work with students every single day. If Universities had to state clearly how much money is spent on non-instructinal activities perhaps things would start to change for the better.",instruction,FAVOR,1,invalid
"All of my children have been, or are being home schooled through high school. The oldest will be graduating from college this year, the recepient of a few scholarships. Home schooling is not easy, and it is not for everyone. This being said, I have to agree with those who have posted that all of us benefit from the public school system, and must fund it via our taxes. We should demand more of our schools so that our communities' children will get the education that they should to be productive members of society.",public school,FAVOR,1,invalid
"I currently have no children in the public schools yet I am taxed for them. Should I as a taxpayer get a subsidy because I do not make use of the public schools? No. If as a society we feel that public education is important and you as a parent want to make the choice to either homeschool your children or send them to private school that is your right. However, you do not have the right to take public funds to do that. This is just a backdoor way to say that vochers are ok and to undermine funding for public schools. Public schools have to take everyone and often for special needs children at great cost. Any attempt to divert dollars away from that public good should not even be considered.",public good,FAVOR,1,invalid
"I meant: equal treatment/equal protection. To elaborate, that is surely part of the rationale for the IDEA law in the first place, but we shouldn't then go on to debate the meaning of IDEA without contextualizing things according to the underlying issues. Some deaf children (actually, the vast majority of deaf children who are not hard of hearing) will need to be educated primarily through natural sign language. In the US this means American Sign Language--with English as a second language. This is the only way that a truly equal education can be provided, not be pretending that if we just try to maximize integration with hearing children that that will address the issue.",equal protection,FAVOR,1,invalid
"It amazes me that what is best for children seems not to be part of this discussion. Why wouldn't we want as many children as possible to be able to participate in high school athletics? We all know the benefits of sports for kids, why would we want to deny home-schooled kids these same benefits just because they are doing their academic work outside of the classroom?","""childrens sports""",FAVOR,1,invalid
"As a feminist, and a mom of a boy and a girl, I want equal opportunity for both of them. I would love to find a college beyond Wabash that's all male. Because: on average boys are doing poorly in school compared with girls. It would be even better if that all-male school encouraged the arts--everything from fine arts to domestic arts, animal husbandry, and gardening, in addition to a rigorous curriculum of reading, writing, arithmetic, and science.",diversity,FAVOR,1,invalid
"The difference between us and them is that we don't target civilians as a matter of policy. That said, I wish we could draft the children and grandchildren of those who demand we conduct war by sending troops instead of drones.",children,FAVOR,1,invalid
"full disclosure: I own a Jetta TDI that aside, I can go along with the premise that our business environment is already heavily regulated--I live and die with building codes and construction permitting officials. and I would agree with the assertion that another telephone book's worth of regs would not have deterred VW's deliberate and diabolical circumvention of well established regs. I could also go along with industry having a very important voice in the framing of regulations. But where, Mr Adams--where, pray tell, does it follow that ""businesses are...best equipped to regulate themselves?"" Your syllogism is lacking a critical premise.",regulations,FAVOR,1,invalid
"There isn't enough Lithium, nickel and other minerals to manufacture the volume of batteries they are talking about. Any day now they'll be a lithium cartel forming in the image of OPEC and we'll be in the same bad situation. Hydrogen is the best solution. Talk about the lack of infrastructure for Hydrogen is just defeatist nonsense designed to maintain the status quo for the good of those who profit from it. Nobody used the lack of public charging stations or the lack of infrastructure for disposing/recycling used batteries as an excuse to stop the Batteries. In a decade we transformed the landscape with cell towers and converted our society to a mobile one and we can do the same with Hydrogen.",mobile,FAVOR,1,invalid
"The author is out of his freaking mind! Declawing,tail docking,ear cropping,docking cattle and sheep tails,mulesing and all other mutilations of animals for the human caretakers convenience should be outlawed! As for the declawing, have you never heard of The Paw Project? Do you have any idea what declawing does to a cat? What really needs to happen is Human Education ! I've had cats for over 20 years and raised hundreds of orphan kittens and have NEVER had any furniture,rugs etc destroyed by felines. From the time kittens can walk I filed/trimmed claws,have multiple cat trees and scratching posts and cardboard scratching boxes in the house.It is time for Mr. Beck to join the 21st century and start respecting animals.",animal,FAVOR,1,invalid
